ID,Name,Description,Ubertip
I000,生命探测仪/废弃,|cffffff00每8秒钟会对周围2000范围内进行探测|r，会在你的地图上标识出敌对生命位置。|cff00ff00该装置已经被改善用来单独检测非人类生命体。|r|n|n|cff808080生命探测仪是美国超视安全系统公司于2005年新近推出的一种安全救生系统。著名物理学家，麻省理工学院博士大卫·席思(DavidCist)创造性地将雷达超宽频技术(UWB)应用于安全救生领域，从而为该领域带来一项革命性的新技术。|r,|cffffff00每8秒钟会对周围2000范围内进行探测|r，会在你的地图上标识出敌对生命位置。|n|n|cff808080生命探测仪是美国超视安全系统公司于2005年新近推出的一种安全救生系统。著名物理学家，麻省理工学院博士大卫·席思(DavidCist)创造性地将雷达超宽频技术(UWB)应用于安全救生领域，从而为该领域带来一项革命性的新技术。|r
I001,苏芸芽孢杆菌毒素,使用后能有效|cffffff00去除体内寄生虫|r。|n|n|cff808080\"挺甜的，可以当甜品\"-FNC。|r,使用后能有效|cffffff00去除体内寄生虫|r。|n|n|cff808080\"挺甜的，可以当甜品\"-FNC。|r
I002,通用弹夹,可以补充一次弹药。重装弹夹必须要有弹夹。|n|n|cff999999I Need Ammo|r,可以补充一次弹药。重装弹夹必须要有弹夹。|n|n|cff999999I Need Ammo|r
I003,EOT-512全息瞄具,\\n攻击:4 稳定百分比:50.0%,\\n攻击:4 稳定百分比:50.0%
I004,UAV-A12,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I005,UAV-A20,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I006,UAV-M1,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I007,轻型防护服,\\n生命:20 防御:5,\\n生命:20 防御:5
I008,战术装备补给箱,,
I009,无人机械补给箱,,
I00A,医疗药剂,,恢复30+15%生命值最大的生命值。|n|n|cff999999小巧方便携带。|r
I00B,装备补给箱,,
I00C,医用补给箱,,
